conceptid,PrefLabel,AltLabels,ParentConceptid,ConceptType,Provider
ESTIMATED_CHANGE_1,Rising,,ESTIMATED_CHANGE_AUTHORITY_DOCUMENT.E32.csv,Index,Polaris
ESTIMATED_CHANGE_2,Falling,,ESTIMATED_CHANGE_AUTHORITY_DOCUMENT.E32.csv,Index,Polaris
ESTIMATED_CHANGE_3,Same,,ESTIMATED_CHANGE_AUTHORITY_DOCUMENT.E32.csv,Index,Polaris
ESTIMATED_CHANGE_4,Unknown,,ESTIMATED_CHANGE_AUTHORITY_DOCUMENT.E32.csv,Index,Polaris
