conceptid,PrefLabel,AltLabels,ParentConceptid,ConceptType,Provider
ADMINISTRATIVE_SUBDIVISION_1,State,,ADMINISTRATIVE_SUBDIVISION_AUTHORITY_DOCUMENT.E32.csv,Index,Polaris
ADMINISTRATIVE_SUBDIVISION_2,County,,ADMINISTRATIVE_SUBDIVISION_AUTHORITY_DOCUMENT.E32.csv,Index,Polaris
ADMINISTRATIVE_SUBDIVISION_3,Municipality,,ADMINISTRATIVE_SUBDIVISION_AUTHORITY_DOCUMENT.E32.csv,Index,Polaris
ADMINISTRATIVE_SUBDIVISION_4,Landowner,,ADMINISTRATIVE_SUBDIVISION_AUTHORITY_DOCUMENT.E32.csv,Index,Polaris
ADMINISTRATIVE_SUBDIVISION_5,Local Name,,ADMINISTRATIVE_SUBDIVISION_AUTHORITY_DOCUMENT.E32.csv,Index,Polaris
