conceptid,Value,Valuetype,Provider
DISTRIBUTION_TYPE_1,1,sortorder,Polaris
DISTRIBUTION_TYPE_2,2,sortorder,Polaris
DISTRIBUTION_TYPE_3,3,sortorder,Polaris
DISTRIBUTION_TYPE_4,4,sortorder,Polaris
DISTRIBUTION_TYPE_5,5,sortorder,Polaris
DISTRIBUTION_TYPE_6,6,sortorder,Polaris
DISTRIBUTION_TYPE_7,7,sortorder,Polaris
DISTRIBUTION_TYPE_8,8,sortorder,Polaris
