conceptid,Value,Valuetype,Provider
CULTURAL_CONCERNS_1,1,sortorder,Polaris
CULTURAL_CONCERNS_2,2,sortorder,Polaris
CULTURAL_CONCERNS_3,3,sortorder,Polaris
CULTURAL_CONCERNS_4,4,sortorder,Polaris
CULTURAL_CONCERNS_5,5,sortorder,Polaris
