conceptid,PrefLabel,AltLabels,ParentConceptid,ConceptType,Provider
SEGMENT_PROTECTION_STRATEGIES_1,Contain/recover oil on water,,SEGMENT_PROTECTION_STRATEGIES_AUTHORITY_DOCUMENT.E32.csv,Index,Polaris
SEGMENT_PROTECTION_STRATEGIES_2,Alter direction of oil on water,,SEGMENT_PROTECTION_STRATEGIES_AUTHORITY_DOCUMENT.E32.csv,Index,Polaris
SEGMENT_PROTECTION_STRATEGIES_3,Prevent landward oil movement w/ tides,,SEGMENT_PROTECTION_STRATEGIES_AUTHORITY_DOCUMENT.E32.csv,Index,Polaris
SEGMENT_PROTECTION_STRATEGIES_4,Trap/contain and collect oil at shoreline,,SEGMENT_PROTECTION_STRATEGIES_AUTHORITY_DOCUMENT.E32.csv,Index,Polaris
SEGMENT_PROTECTION_STRATEGIES_5,Prevent remob. of stranded oil,,SEGMENT_PROTECTION_STRATEGIES_AUTHORITY_DOCUMENT.E32.csv,Index,Polaris
SEGMENT_PROTECTION_STRATEGIES_6,Prevent overwash into backshore or lagoon,,SEGMENT_PROTECTION_STRATEGIES_AUTHORITY_DOCUMENT.E32.csv,Index,Polaris
SEGMENT_PROTECTION_STRATEGIES_7,Pre-impact debris removal,,SEGMENT_PROTECTION_STRATEGIES_AUTHORITY_DOCUMENT.E32.csv,Index,Polaris
SEGMENT_PROTECTION_STRATEGIES_8,Other,,SEGMENT_PROTECTION_STRATEGIES_AUTHORITY_DOCUMENT.E32.csv,Index,Polaris
