conceptid,PrefLabel,AltLabels,ParentConceptid,ConceptType,Provider
STREAM_BED_FEATURE_1,Cascade,,STREAM_BED_FEATURE_AUTHORITY_DOCUMENT.E32.csv,Index,Polaris
STREAM_BED_FEATURE_2,Rapids,,STREAM_BED_FEATURE_AUTHORITY_DOCUMENT.E32.csv,Index,Polaris
STREAM_BED_FEATURE_3,Riffle,,STREAM_BED_FEATURE_AUTHORITY_DOCUMENT.E32.csv,Index,Polaris
STREAM_BED_FEATURE_4,Glide,,STREAM_BED_FEATURE_AUTHORITY_DOCUMENT.E32.csv,Index,Polaris
STREAM_BED_FEATURE_5,Pool,,STREAM_BED_FEATURE_AUTHORITY_DOCUMENT.E32.csv,Index,Polaris
STREAM_BED_FEATURE_6,Jam,,STREAM_BED_FEATURE_AUTHORITY_DOCUMENT.E32.csv,Index,Polaris
