conceptid,PrefLabel,AltLabels,ParentConceptid,ConceptType,Provider
SEGMENT_PROTECTION_OBJECTIVES_1,Prevent contact with shore/resources at risk,,SEGMENT_PROTECTION_OBJECTIVES_AUTHORITY_DOCUMENT.E32.csv,Index,Polaris
SEGMENT_PROTECTION_OBJECTIVES_2,Minimize contact,,SEGMENT_PROTECTION_OBJECTIVES_AUTHORITY_DOCUMENT.E32.csv,Index,Polaris
SEGMENT_PROTECTION_OBJECTIVES_3,Prevent oil movement to adj. segment,,SEGMENT_PROTECTION_OBJECTIVES_AUTHORITY_DOCUMENT.E32.csv,Index,Polaris
SEGMENT_PROTECTION_OBJECTIVES_4,Constrain stranded oil,,SEGMENT_PROTECTION_OBJECTIVES_AUTHORITY_DOCUMENT.E32.csv,Index,Polaris
SEGMENT_PROTECTION_OBJECTIVES_5,Prevent oil transport to inlet/estuary/channel,,SEGMENT_PROTECTION_OBJECTIVES_AUTHORITY_DOCUMENT.E32.csv,Index,Polaris
SEGMENT_PROTECTION_OBJECTIVES_6,Other,,SEGMENT_PROTECTION_OBJECTIVES_AUTHORITY_DOCUMENT.E32.csv,Index,Polaris
