conceptid,Value,Valuetype,Provider
OTHER_TYPE_1,1,sortorder,Polaris
OTHER_TYPE_2,2,sortorder,Polaris
OTHER_TYPE_3,3,sortorder,Polaris
OTHER_TYPE_4,4,sortorder,Polaris
OTHER_TYPE_5,5,sortorder,Polaris
OTHER_TYPE_6,6,sortorder,Polaris
OTHER_TYPE_7,7,sortorder,Polaris
