conceptid,Value,Valuetype,Provider
ZONE_CHARACTER_1,11,sortorder,Polaris
ZONE_CHARACTER_2,12,sortorder,Polaris
ZONE_CHARACTER_3,13,sortorder,Polaris
ZONE_CHARACTER_4,14,sortorder,Polaris
ZONE_CHARACTER_5,15,sortorder,Polaris
ZONE_CHARACTER_6,16,sortorder,Polaris
ZONE_CHARACTER_7,17,sortorder,Polaris
ZONE_CHARACTER_8,18,sortorder,Polaris
ZONE_CHARACTER_9,19,sortorder,Polaris
ZONE_CHARACTER_10,20,sortorder,Polaris
ZONE_CHARACTER_11,21,sortorder,Polaris
