conceptid,PrefLabel,AltLabels,ParentConceptid,ConceptType,Provider
ESTIMATED_WATER_DEPTH_1,< 1m,,ESTIMATED_WATER_DEPTH_AUTHORITY_DOCUMENT.E32.csv,Index,Polaris
ESTIMATED_WATER_DEPTH_2,1 - 3 m,,ESTIMATED_WATER_DEPTH_AUTHORITY_DOCUMENT.E32.csv,Index,Polaris
ESTIMATED_WATER_DEPTH_3,3 - 10 m,,ESTIMATED_WATER_DEPTH_AUTHORITY_DOCUMENT.E32.csv,Index,Polaris
ESTIMATED_WATER_DEPTH_4,> 10 m,,ESTIMATED_WATER_DEPTH_AUTHORITY_DOCUMENT.E32.csv,Index,Polaris
ESTIMATED_WATER_DEPTH_5,Unknown,,ESTIMATED_WATER_DEPTH_AUTHORITY_DOCUMENT.E32.csv,Index,Polaris
