conceptid,PrefLabel,AltLabels,ParentConceptid,ConceptType,Provider
PIT_CHARACTER_1,NO,No oil ,PIT_CHARACTER_AUTHORITY_DOCUMENT.E32.csv,Index,Polaris
PIT_CHARACTER_2,AP,Asphalt Pavement,PIT_CHARACTER_AUTHORITY_DOCUMENT.E32.csv,Index,Polaris
PIT_CHARACTER_3,OP,Oil Filled Pores,PIT_CHARACTER_AUTHORITY_DOCUMENT.E32.csv,Index,Polaris
PIT_CHARACTER_4,PP,Partially Filled Pores,PIT_CHARACTER_AUTHORITY_DOCUMENT.E32.csv,Index,Polaris
PIT_CHARACTER_5,OR,Oil Residue (Cover/Coat),PIT_CHARACTER_AUTHORITY_DOCUMENT.E32.csv,Index,Polaris
PIT_CHARACTER_6,OF,Oil Film (Stain),PIT_CHARACTER_AUTHORITY_DOCUMENT.E32.csv,Index,Polaris
PIT_CHARACTER_7,TR,Trace,PIT_CHARACTER_AUTHORITY_DOCUMENT.E32.csv,Index,Polaris
