conceptid,PrefLabel,AltLabels,ParentConceptid,ConceptType,Provider
SEGMENT_NAME_TYPE_1,PRIMARY,Primary,SEGMENT_NAME_TYPE_AUTHORITY_DOCUMENT.E32.csv,Index,FGI
SEGMENT_NAME_TYPE_2,SECONDARY,Secondary,SEGMENT_NAME_TYPE_AUTHORITY_DOCUMENT.E32.csv,Index,FGI
