conceptid,PrefLabel,AltLabels,ParentConceptid,ConceptType,Provider
ROAD_ACCESS_TYPE_1,2 wheel drive,,ROAD_ACCESS_TYPE_AUTHORITY_DOCUMENT.E32.csv,Index,Polaris
ROAD_ACCESS_TYPE_2,ATVs,,ROAD_ACCESS_TYPE_AUTHORITY_DOCUMENT.E32.csv,Index,Polaris
ROAD_ACCESS_TYPE_4,4 wheel drive,,ROAD_ACCESS_TYPE_AUTHORITY_DOCUMENT.E32.csv,Index,Polaris
ROAD_ACCESS_TYPE_5,Trucks,,ROAD_ACCESS_TYPE_AUTHORITY_DOCUMENT.E32.csv,Index,Polaris
ROAD_ACCESS_TYPE_6,Backhoes,,ROAD_ACCESS_TYPE_AUTHORITY_DOCUMENT.E32.csv,Index,Polaris
ROAD_ACCESS_TYPE_7,Heavy Equipment,,ROAD_ACCESS_TYPE_AUTHORITY_DOCUMENT.E32.csv,Index,Polaris
ROAD_ACCESS_TYPE_8,None,,ROAD_ACCESS_TYPE_AUTHORITY_DOCUMENT.E32.csv,Index,Polaris
ROAD_ACCESS_TYPE_9,Unknown,,ROAD_ACCESS_TYPE_AUTHORITY_DOCUMENT.E32.csv,Index,Polaris
