conceptid,PrefLabel,AltLabels,ParentConceptid,ConceptType,Provider
NEARSHORE_ICE_CONCENTRATION_1,0%,0%,NEARSHORE_ICE_CONCENTRATION_AUTHORITY_DOCUMENT.E32.csv,Index,Polaris
NEARSHORE_ICE_CONCENTRATION_2,Open (<1/10),< 10%,NEARSHORE_ICE_CONCENTRATION_AUTHORITY_DOCUMENT.E32.csv,Index,Polaris
NEARSHORE_ICE_CONCENTRATION_3,Very open drift (1/10-3/10),10-30%,NEARSHORE_ICE_CONCENTRATION_AUTHORITY_DOCUMENT.E32.csv,Index,Polaris
NEARSHORE_ICE_CONCENTRATION_4,Open drift (4/10-6/10),40-60%,NEARSHORE_ICE_CONCENTRATION_AUTHORITY_DOCUMENT.E32.csv,Index,Polaris
NEARSHORE_ICE_CONCENTRATION_5,Close pack (7/10-8/10),70-80%,NEARSHORE_ICE_CONCENTRATION_AUTHORITY_DOCUMENT.E32.csv,Index,Polaris
NEARSHORE_ICE_CONCENTRATION_6,Very close pack (9/10),90%,NEARSHORE_ICE_CONCENTRATION_AUTHORITY_DOCUMENT.E32.csv,Index,Polaris
NEARSHORE_ICE_CONCENTRATION_7,Compact ice (10/10),100%,NEARSHORE_ICE_CONCENTRATION_AUTHORITY_DOCUMENT.E32.csv,Index,Polaris
