conceptid,PrefLabel,AltLabels,ParentConceptid,ConceptType,Provider
TIDE_OR_WATER_DIRECTION_1,Rising,,TIDE_OR_WATER_DIRECTION_AUTHORITY_DOCUMENT.E32.csv,Index,Polaris
TIDE_OR_WATER_DIRECTION_2,Falling,,TIDE_OR_WATER_DIRECTION_AUTHORITY_DOCUMENT.E32.csv,Index,Polaris
TIDE_OR_WATER_DIRECTION_3,Slack,,TIDE_OR_WATER_DIRECTION_AUTHORITY_DOCUMENT.E32.csv,Index,Polaris
