conceptid,Value,Valuetype,Provider
OILING_CATEGORY_1,1,sortorder,Polaris
OILING_CATEGORY_2,2,sortorder,Polaris
OILING_CATEGORY_3,3,sortorder,Polaris
OILING_CATEGORY_4,4,sortorder,Polaris
OILING_CATEGORY_5,5,sortorder,Polaris
OILING_CATEGORY_6,6,sortorder,Polaris
OILING_CATEGORY_7,7,sortorder,Polaris
