conceptid,PrefLabel,AltLabels,ParentConceptid,ConceptType,Provider
SURVEY_BY_1,Foot,,SURVEY_METHOD_AUTHORITY_DOCUMENT.E32.csv,Index,Polaris
SAMPLE_BY_2,Boat,,SURVEY_METHOD_AUTHORITY_DOCUMENT.E32.csv,Index,Polaris
SAMPLE_BY_3,Car,,SURVEY_METHOD_AUTHORITY_DOCUMENT.E32.csv,Index,Polaris
SAMPLE_BY_4,ATV,,SURVEY_METHOD_AUTHORITY_DOCUMENT.E32.csv,Index,Polaris
SAMPLE_BY_5,Helicopter,,SURVEY_METHOD_AUTHORITY_DOCUMENT.E32.csv,Index,Polaris
SAMPLE_BY_6,Overlook,,SURVEY_METHOD_AUTHORITY_DOCUMENT.E32.csv,Index,Polaris
SAMPLE_BY_7,Imagery,,SURVEY_METHOD_AUTHORITY_DOCUMENT.E32.csv,Index,Polaris
SAMPLE_BY_8,Video,,SURVEY_METHOD_AUTHORITY_DOCUMENT.E32.csv,Index,Polaris
SAMPLE_BY_9,Other,,SURVEY_METHOD_AUTHORITY_DOCUMENT.E32.csv,Index,Polaris
