conceptid,PrefLabel,AltLabels,ParentConceptid,ConceptType,Provider
RESULTS_AND_RECOMMENDATIONS_1,No Oil Observed.,,RESULTS_AND_RECOMMENDATIONS_AUTHORITY_DOCUMENT.E32.csv,Index,Polaris
RESULTS_AND_RECOMMENDATIONS_2,Meets cleanup endpoint.,,RESULTS_AND_RECOMMENDATIONS_AUTHORITY_DOCUMENT.E32.csv,Index,Polaris
RESULTS_AND_RECOMMENDATIONS_3,No further treatment recommended.,,RESULTS_AND_RECOMMENDATIONS_AUTHORITY_DOCUMENT.E32.csv,Index,Polaris
RESULTS_AND_RECOMMENDATIONS_4,Further treatment required.,,RESULTS_AND_RECOMMENDATIONS_AUTHORITY_DOCUMENT.E32.csv,Index,Polaris
RESULTS_AND_RECOMMENDATIONS_5,Other,,RESULTS_AND_RECOMMENDATIONS_AUTHORITY_DOCUMENT.E32.csv,Index,Polaris
