conceptid,Value,Valuetype,Provider
DEBRIS_TYPE_1,1,sortorder,Polaris
DEBRIS_TYPE_2,2,sortorder,Polaris
DEBRIS_TYPE_3,3,sortorder,Polaris
DEBRIS_TYPE_4,4,sortorder,Polaris
DEBRIS_TYPE_5,5,sortorder,Polaris
DEBRIS_TYPE_6,6,sortorder,Polaris
