conceptid,Value,Valuetype,Provider
CLIFF_SLOPE_1,1,sortorder,Polaris
CLIFF_SLOPE_2,2,sortorder,Polaris
CLIFF_SLOPE_3,3,sortorder,Polaris
CLIFF_SLOPE_4,4,sortorder,Polaris
CLIFF_SLOPE_5,5,sortorder,Polaris
