conceptid,PrefLabel,AltLabels,ParentConceptid,ConceptType,Provider
DISTRIBUTION_TYPE_1,No Oil Observed,,DISTRIBUTION_TYPE_AUTHORITY_DOCUMENT.E32.csv,Index,Polaris
DISTRIBUTION_TYPE_2,Percent Distribution,,DISTRIBUTION_TYPE_AUTHORITY_DOCUMENT.E32.csv,Index,Polaris
DISTRIBUTION_TYPE_3,Discreet Oiling,,DISTRIBUTION_TYPE_AUTHORITY_DOCUMENT.E32.csv,Collector,Polaris
DISTRIBUTION_TYPE_4,1 Sq. Meter,,DISTRIBUTION_TYPE_3,Index,Polaris
DISTRIBUTION_TYPE_5,10 Sq. Meters,,DISTRIBUTION_TYPE_3,Index,Polaris
DISTRIBUTION_TYPE_6,100 Sq. Meters,,DISTRIBUTION_TYPE_3,Index,Polaris
DISTRIBUTION_TYPE_7,1000 Sq. Meters,,DISTRIBUTION_TYPE_3,Index,Polaris
DISTRIBUTION_TYPE_8,Entire Zone,,DISTRIBUTION_TYPE_3,Index,Polaris
