conceptid,PrefLabel,AltLabels,ParentConceptid,ConceptType,Provider
SITE_ACCESS_STAGING_1,1. ATVs,,SITE_ACCESS_STAGING_AUTHORITY_DOCUMENT.E32.csv,Index,Polaris
SITE_ACCESS_STAGING_2,2. Pickup (4x4),,SITE_ACCESS_STAGING_AUTHORITY_DOCUMENT.E32.csv,Index,Polaris
SITE_ACCESS_STAGING_3,3. Trucks,,SITE_ACCESS_STAGING_AUTHORITY_DOCUMENT.E32.csv,Index,Polaris
SITE_ACCESS_STAGING_4,4. Heavy Equipment,,SITE_ACCESS_STAGING_AUTHORITY_DOCUMENT.E32.csv,Index,Polaris
SITE_ACCESS_STAGING_5,5. < 15 ft. jon boats,,SITE_ACCESS_STAGING_AUTHORITY_DOCUMENT.E32.csv,Index,Polaris
SITE_ACCESS_STAGING_6,6. 15 - 50 ft. vessels,,SITE_ACCESS_STAGING_AUTHORITY_DOCUMENT.E32.csv,Index,Polaris
SITE_ACCESS_STAGING_7,7. > 50 ft. vessels,,SITE_ACCESS_STAGING_AUTHORITY_DOCUMENT.E32.csv,Index,Polaris
