conceptid,PrefLabel,AltLabels,ParentConceptid,ConceptType,Provider
SAMPLE_TYPE_1,Incident related,,SAMPLE_TYPE_AUTHORITY_DOCUMENT.E32.csv,Index,Polaris
SAMPLE_TYPE_2,Non-incident related,,SAMPLE_TYPE_AUTHORITY_DOCUMENT.E32.csv,Index,Polaris
