conceptid,PrefLabel,AltLabels,ParentConceptid,ConceptType,Provider
ea2003c5-b51b-4a0a-a483-6211bbf51daa,Allow natural recovery,,SHORELINE_TREATMENT_OBJECTIVES_AUTHORITY_DOCUMENT.E32.csv,Index,Polaris
21bce25f-0716-4f7c-9eed-a80d9c7989f3,Restore shore to pre-oiling conditions,,SHORELINE_TREATMENT_OBJECTIVES_AUTHORITY_DOCUMENT.E32.csv,Index,Polaris
c591d908-76d9-4f54-a334-838bba5ac34d,Accelerate natural recovery,,SHORELINE_TREATMENT_OBJECTIVES_AUTHORITY_DOCUMENT.E32.csv,Index,Polaris
603812b3-0d9e-468f-9abb-08f1b5e62852,Restore with minimal removal of material,,SHORELINE_TREATMENT_OBJECTIVES_AUTHORITY_DOCUMENT.E32.csv,Index,Polaris
b3e675dc-5ae1-473b-afec-771b6c066fc9,Minimize oil remobilization,,SHORELINE_TREATMENT_OBJECTIVES_AUTHORITY_DOCUMENT.E32.csv,Index,Polaris
30d3da99-2769-42d3-a51a-d9b626daa270,Minimize damage to dune, marsh or bog,,SHORELINE_TREATMENT_OBJECTIVES_AUTHORITY_DOCUMENT.E32.csv,Index,Polaris
5872d71d-149d-4334-88c7-9ca75604270c,Other,,SHORELINE_TREATMENT_OBJECTIVES_AUTHORITY_DOCUMENT.E32.csv,Index,Polaris
